Timestamp,1. What is your age group?,2. What is your occupation?,3. At what time of day did the incident occur?,4. Where did the incident occur?,5. How crowded was the location at the time of the incident?,6. What was the lighting condition in the area?,7. Was any form of security present at the location?,8. Were you familiar with the area where the incident occurred?,9. What type of harassment did you experience?,10. How often have you experienced harassment in similar situations?,11. How safe did you feel during the incident?,"12. Overall, how would you rate the risk level of harassment in that situation?"
2026-01-29 22:19:51,18-25,Student,Evening,Street/Public place,The location was slightly crowded,The lighting was moderate,There was no security at all,I mostly knew the area,"Physical harassment (touching, grabbing, assault)",I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was no risk of harassment at all
2026-01-29 22:20:52,18-25,Student,Evening,Public transport,The location was extremely crowded,The lighting was poor,There was no security at all,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have never experienced harassment in similar situations,Option I felt very unsafe1,There was a very high risk of harassment
2026-01-29 23:27:42,18-25,Student,Night,Online platform,The location was not crowded at all,The lighting was very poor,There was no security at all,I did not know the area at all,"Online harassment (messages, social media, calls)",I have sometimes experienced harassment in similar situations,I felt very unsafe,There was a very high risk of harassment
2026-01-30 20:28:06,18-25,Student,Night,Public transport,The location was extremely crowded,The lighting was poor,There was no security at all,I mostly knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt very unsafe,There was a high risk of harassment
2026-01-30 22:06:27,26-35,Self-employed,Early Morning,Street/Public place,The location was mostly crowded,The lighting was moderate,There was some security,I knew the area completely,"Verbal harassment (unwanted comments, remarks)",I have sometimes experienced harassment in similar situations,I felt very unsafe,There was a high risk of harassment
2026-01-30 22:08:10,36-45,Employed,Night,Street/Public place,The location was mostly crowded,The lighting was good,There was some security,I knew the area completely,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt unsafe,There was a high risk of harassment
2026-01-30 22:08:59,46-55,Umemployed,Evening,Public transport,The location was mostly crowded,The lighting was excellent,There was no security at all,I knew the area completely,"Physical harassment (touching, grabbing, assault)",I have sometimes experienced harassment in similar situations,I felt very unsafe,There was a very high risk of harassment
2026-01-30 22:10:04,18-25,Student,Evening,Workplace or Educational institute,The location was extremely crowded,The lighting was excellent,There was some security,I knew the area completely,"Verbal harassment (unwanted comments, remarks)",I have sometimes experienced harassment in similar situations,I felt unsafe,There was a high risk of harassment
2026-01-31 02:32:04,18-25,Student,Morning,Workplace or Educational institute,The location was mostly crowded,The lighting was good,There was some security,I somewhat knew the area,"Verbal harassment (unwanted comments, remarks)",I have often experienced harassment in similar situations,I felt somewhat safe,There was a low risk of harassment
2026-01-31 09:09:37,18-25,Student,Evening,Street/Public place,The location was slightly crowded,The lighting was good,There was no security at all,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-01-31 16:12:55,18-25,Student,Morning,Workplace or Educational institute,The location was slightly crowded,The lighting was moderate,Security was fully present,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a high risk of harassment
2026-01-31 16:13:57,18-25,Student,Morning,Public transport,The location was moderately crowded,The lighting was good,There was no security at all,I barely knew the area,"Online harassment (messages, social media, calls)",I have very often experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-01-31 16:14:58,18-25,Student,Night,Public transport,The location was extremely crowded,The lighting was very poor,There was no security at all,I did not know the area at all,"Physical harassment (touching, grabbing, assault)",I have never experienced harassment in similar situations,I felt very unsafe,There was a high risk of harassment
2026-01-31 16:16:56,26-35,Self-employed,Evening,Online platform,The location was mostly crowded,The lighting was poor,There was mostly security,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt completely safe,There was a high risk of harassment
2026-01-31 16:43:00,18-25,Umemployed,Morning,Online platform,The location was moderately crowded,The lighting was poor,There was no security at all,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have never experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-01-31 16:44:22,26-35,Umemployed,Evening,Online platform,The location was moderately crowded,The lighting was moderate,There was mostly security,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have often experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-01-31 16:45:12,36-45,Other,Night,At home,The location was extremely crowded,The lighting was excellent,Security was fully present,I knew the area completely,Harassment at home (by family member or known person),I have very often experienced harassment in similar situations,I felt completely safe,There was a very high risk of harassment
2026-01-31 23:01:37,18-25,Student,Morning,Public transport,The location was slightly crowded,The lighting was moderate,There was no security at all,I somewhat knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-01 11:38:57,18-25,Student,Afternoon,Public transport,The location was moderately crowded,The lighting was good,There was mostly security,I knew the area completely,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt very unsafe,There was a high risk of harassment
2026-02-02 19:48:21,18-25,Student,Evening,Public transport,The location was moderately crowded,The lighting was poor,There was no security at all,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt very unsafe,There was a low risk of harassment
2026-02-07 18:04:16,18-25,Student,Morning,Public transport,The location was mostly crowded,The lighting was good,There was some security,I barely knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-14 21:11:27,18-25,Student,Night,Public transport,The location was moderately crowded,The lighting was very poor,There was no security at all,I somewhat knew the area,"Verbal harassment (unwanted comments, remarks)",I have rarely experienced harassment in similar situations,I felt very unsafe,There was a moderate risk of harassment
2026-02-16 08:05:30,26-35,Employed,Evening,Street/Public place,The location was extremely crowded,The lighting was moderate,Security was fully present,I barely knew the area,Stalking (being followed or repeatedly contacted),I have never experienced harassment in similar situations,I felt unsafe,There was a high risk of harassment
2026-02-16 08:05:59,18-25,Umemployed,Night,Public transport,The location was mostly crowded,The lighting was poor,Security was fully present,I did not know the area at all,"Physical harassment (touching, grabbing, assault)",I have often experienced harassment in similar situations,I felt very unsafe,There was a high risk of harassment
2026-02-16 08:06:27,46-55,Other,Morning,Workplace or Educational institute,The location was extremely crowded,The lighting was poor,There was some security,I did not know the area at all,Stalking (being followed or repeatedly contacted),I have never experienced harassment in similar situations,I felt mostly safe,There was a low risk of harassment
2026-02-16 08:07:01,26-35,Student,Evening,Street/Public place,The location was mostly crowded,The lighting was very poor,Security was fully present,I somewhat knew the area,"Online harassment (messages, social media, calls)",I have often experienced harassment in similar situations,I felt unsafe,There was a high risk of harassment
2026-02-16 08:07:24,26-35,Employed,Afternoon,Street/Public place,The location was slightly crowded,The lighting was very poor,There was no security at all,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 08:45:31,36-45,Employed,Evening,Street/Public place,The location was moderately crowded,The lighting was moderate,There was no security at all,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have often experienced harassment in similar situations,I felt very unsafe,There was a moderate risk of harassment
2026-02-24 08:45:54,18-25,Student,Morning,Public transport,The location was moderately crowded,The lighting was poor,Security was fully present,I somewhat knew the area,"Verbal harassment (unwanted comments, remarks)",I have often experienced harassment in similar situations,I felt somewhat safe,There was a high risk of harassment
2026-02-24 08:46:16,26-35,Self-employed,Early Morning,Workplace or Educational institute,The location was extremely crowded,The lighting was moderate,Security was fully present,I somewhat knew the area,"Online harassment (messages, social media, calls)",I have often experienced harassment in similar situations,I felt very unsafe,There was a high risk of harassment
2026-02-24 08:47:05,26-35,Employed,Afternoon,Street/Public place,The location was mostly crowded,The lighting was poor,There was no security at all,I somewhat knew the area,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt mostly safe,There was a high risk of harassment
2026-02-24 08:47:30,26-35,Employed,Afternoon,Public transport,The location was moderately crowded,The lighting was very poor,There was no security at all,I somewhat knew the area,Harassment at home (by family member or known person),I have sometimes experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-24 08:50:09,26-35,Employed,Morning,Street/Public place,The location was moderately crowded,The lighting was very poor,There was some security,I mostly knew the area,"Online harassment (messages, social media, calls)",I have sometimes experienced harassment in similar situations,I felt unsafe,There was a moderate risk of harassment
2026-02-24 08:50:26,18-25,Employed,Afternoon,Street/Public place,The location was moderately crowded,The lighting was poor,There was some security,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 08:50:46,18-25,Student,Afternoon,Public transport,The location was slightly crowded,The lighting was poor,There was some security,I barely knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-24 08:51:04,26-35,Umemployed,Evening,Online platform,The location was mostly crowded,The lighting was moderate,There was mostly security,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a low risk of harassment
2026-02-24 08:51:22,18-25,Employed,Evening,Street/Public place,The location was slightly crowded,The lighting was poor,There was mostly security,I mostly knew the area,"Physical harassment (touching, grabbing, assault)",I have rarely experienced harassment in similar situations,I felt mostly safe,There was a high risk of harassment
2026-02-24 08:53:46,36-45,Self-employed,Early Morning,Online platform,The location was slightly crowded,The lighting was good,Security was fully present,I mostly knew the area,Stalking (being followed or repeatedly contacted),I have sometimes experienced harassment in similar situations,I felt mostly safe,There was a moderate risk of harassment
2026-02-24 08:54:03,26-35,Self-employed,Afternoon,Online platform,The location was moderately crowded,The lighting was moderate,There was mostly security,I barely knew the area,"Verbal harassment (unwanted comments, remarks)",I have never experienced harassment in similar situations,I felt very unsafe,There was no risk of harassment at all
2026-02-24 08:54:30,18-25,Student,Early Morning,Public transport,The location was slightly crowded,The lighting was moderate,There was mostly security,I barely knew the area,"Physical harassment (touching, grabbing, assault)",I have often experienced harassment in similar situations,I felt unsafe,There was a low risk of harassment
2026-02-24 08:54:53,26-35,Self-employed,Morning,Street/Public place,The location was slightly crowded,The lighting was very poor,There was mostly security,I barely knew the area,Stalking (being followed or repeatedly contacted),I have rarely experienced harassment in similar situations,I felt somewhat safe,There was a moderate risk of harassment
2026-02-24 08:55:11,46-55,Umemployed,Evening,Workplace or Educational institute,The location was moderately crowded,The lighting was poor,There was mostly security,I mostly knew the area,"Online harassment (messages, social media, calls)",I have sometimes experienced harassment in similar situations,I felt somewhat safe,There was a low risk of harassment
2026-02-24 08:55:48,36-45,Employed,Evening,Workplace or Educational institute,The location was slightly crowded,The lighting was good,Security was fully present,I somewhat knew the area,"Physical harassment (touching, grabbing, assault)",I have often experienced harassment in similar situations,I felt mostly safe,There was a high risk of harassment
