Timestamp,1. What is your age group?,2. What is your occupation?,3. At what time of day did the incident occur?,4. Where did the incident occur?,5. How crowded was the location at the time of the incident?,6. What was the lighting condition in the area?,7. Was any form of security present at the location?,8. Were you familiar with the area where the incident occurred?,9. What type of harassment did you experience?,10. How often have you experienced harassment in similar situations?,11. How safe did you feel during the incident?,"12. Overall, how would you rate the risk level of harassment in that situation?"
0,0,3,2,3,4,2,2,3,2,3,2,4
1,0,3,2,2,0,3,2,4,2,0,5,3
2,0,3,4,1,3,4,2,1,1,3,4,3
3,0,3,4,2,0,3,2,3,2,2,4,0
4,1,2,1,3,2,2,3,2,4,3,4,0
5,2,0,4,3,2,1,3,2,3,3,3,0
6,3,4,2,2,2,0,2,2,2,3,4,3
7,0,3,2,4,0,0,3,2,4,3,3,0
8,0,3,3,4,2,1,3,4,4,1,2,1
9,0,3,2,3,4,1,2,4,2,2,3,2
10,0,3,3,4,4,2,0,3,3,3,2,0
11,0,3,3,2,1,1,2,0,1,4,3,2
12,0,3,4,2,0,4,2,1,2,0,4,0
13,1,2,2,1,2,3,1,3,3,3,0,0
14,0,4,3,1,1,3,2,4,2,0,2,2
15,1,4,2,1,1,2,1,3,3,1,2,2
16,2,1,4,0,0,0,0,2,0,4,0,3
17,0,3,3,2,4,2,2,4,3,3,3,1
18,0,3,0,2,1,1,1,2,2,2,4,0
19,0,3,2,2,1,3,2,4,2,2,4,1
20,0,3,3,2,2,1,3,0,2,2,3,1
21,0,3,4,2,1,4,2,4,4,2,4,2
22,1,0,2,3,0,2,0,0,3,0,3,0
23,0,4,4,2,2,3,0,1,2,1,4,0
24,3,1,3,4,0,3,3,1,3,0,1,1
25,1,3,2,3,2,4,0,4,1,1,3,0
26,1,0,0,3,4,4,2,3,3,2,3,2
27,2,0,2,3,1,2,2,4,2,1,4,2
28,0,3,3,2,1,3,0,4,4,1,2,0
29,1,2,1,4,0,2,0,4,1,1,4,0
30,1,0,0,3,2,3,2,4,3,2,1,0
31,1,0,0,2,1,4,2,4,0,3,3,1
32,1,0,3,3,1,4,3,3,1,3,3,2
33,0,0,0,3,1,3,3,4,2,2,2,2
34,0,3,0,2,4,3,3,0,2,2,3,1
35,1,4,2,1,2,2,1,3,3,3,2,1
36,0,0,2,3,4,3,1,3,2,2,1,0
37,2,2,1,1,4,1,0,3,3,3,1,2
38,1,2,0,1,1,2,1,0,4,0,4,4
39,0,3,1,2,4,2,1,0,2,1,3,1
40,1,2,3,3,4,4,1,0,3,2,2,2
41,3,4,2,4,1,3,1,3,1,3,2,1
42,2,0,2,4,4,1,0,4,2,1,1,0
43,2,2,2,3,4,1,3,3,1,4,2,3
44,0,2,3,3,2,2,1,3,4,2,2,2
45,3,4,0,2,1,1,1,2,3,1,1,1
46,3,0,2,4,2,3,1,4,2,2,3,2
47,3,2,2,4,4,1,2,2,1,3,1,2
48,2,2,0,3,1,0,1,0,2,2,3,2
49,2,0,0,3,1,4,1,4,3,3,4,1
50,3,0,0,1,0,2,1,2,1,2,3,2
51,0,2,1,0,2,4,1,3,1,2,2,2
52,2,0,4,3,1,4,3,3,2,3,2,2
53,1,2,0,3,1,2,1,4,1,3,2,2
54,3,1,2,0,1,2,0,4,1,3,0,3
55,1,2,1,4,1,3,0,4,0,2,0,1
56,2,2,0,1,1,0,1,3,1,2,3,2
57,0,3,3,3,2,2,0,2,0,3,3,2
58,1,2,4,2,3,4,1,0,1,2,2,4
59,3,0,0,0,4,0,0,4,1,4,2,2
60,2,0,2,4,1,1,2,2,3,2,1,0
61,1,2,0,0,2,1,0,1,2,0,2,3
62,1,1,4,4,2,3,0,1,1,1,2,2
63,1,0,0,4,4,3,0,1,4,3,1,1
64,3,0,3,3,4,4,0,1,2,0,4,4
65,4,4,0,3,1,2,0,3,0,2,2,0
66,1,3,3,1,1,2,3,1,4,0,2,2
67,0,3,4,2,1,1,2,0,3,2,0,2
68,2,2,1,1,1,0,0,0,1,2,3,1
69,1,2,3,3,3,1,3,2,4,2,1,1
70,0,3,4,2,1,1,2,0,3,2,0,2
71,1,3,3,1,1,2,3,1,4,0,2,2
72,1,2,1,4,1,3,0,4,0,2,0,1
73,4,4,0,3,1,2,0,3,0,2,2,0
74,3,0,2,4,2,3,1,4,2,2,3,2
75,2,2,1,1,4,1,0,3,3,3,1,2
